t_rel_s,steer,throttle,brake,controller_compute_time_ms
0.000000,0.000024,0.750000,0.000000,20.663619
0.050000,0.000044,0.750000,0.000000,2.712208
0.100000,0.000065,0.750000,0.000000,2.522862
0.150000,0.000050,0.750000,0.000000,2.267383
0.200000,0.000056,0.750000,0.000000,2.227458
0.250000,0.000071,0.750000,0.000000,2.181743
0.300000,0.000053,0.750000,0.000000,2.919746
0.350000,0.000066,0.750000,0.000000,2.569840
0.400000,0.000070,0.750000,0.000000,2.802206
0.450000,0.000062,0.750000,0.000000,2.291719
0.500000,0.000062,0.750000,0.000000,2.353324
0.550000,0.000071,0.750000,0.000000,2.329599
0.600000,0.000077,0.750000,0.000000,2.061116
0.650000,0.000893,0.750000,0.000000,2.262013
0.700000,0.000746,0.750000,0.000000,2.925738
0.750000,-0.000004,0.750000,0.000000,2.332325
0.800000,-0.000777,0.750000,0.000000,2.105339
0.850000,-0.000257,0.750000,0.000000,2.204706
0.900000,-0.001133,0.750000,0.000000,2.398599
0.950000,-0.002440,0.750000,0.000000,2.267022
1.000000,-0.000700,0.750000,0.000000,3.096878
1.050000,-0.000847,0.750000,0.000000,2.117902
1.100000,-0.003108,0.750000,0.000000,2.798819
1.150000,-0.002793,0.750000,0.000000,2.999415
1.200000,-0.003564,0.750000,0.000000,2.113865
1.250000,-0.002650,0.750000,0.000000,2.827333
1.300000,-0.003291,0.750000,0.000000,2.286428
1.350000,-0.001247,0.750000,0.000000,2.621247
1.400000,-0.002350,0.750000,0.000000,2.634882
1.450000,-0.001312,0.750000,0.000000,2.232728
1.500000,-0.001925,0.750000,0.000000,2.595389
1.550000,-0.000875,0.750000,0.000000,2.289464
1.600000,-0.001350,0.750000,0.000000,3.127846
1.650000,-0.000874,0.750000,0.000000,2.365617
1.700000,-0.000851,0.750000,0.000000,2.236264
1.750000,-0.000720,0.750000,0.000000,2.639541
1.800000,-0.000793,0.750000,0.000000,2.353905
1.850000,-0.000553,0.750000,0.000000,3.133538
1.900000,-0.000475,0.533772,0.000000,2.690316
1.950000,-0.000436,0.167448,0.000000,2.402837
2.000000,0.000003,0.750000,0.000000,2.147909
2.050000,0.003428,0.750000,0.000000,2.159190
2.100000,0.002232,0.750000,0.000000,2.195799
2.150000,0.002039,0.750000,0.000000,2.549452
2.200000,-0.003478,0.750000,0.000000,2.747864
2.250000,0.003942,0.319760,0.000000,2.752734
2.300000,0.002216,0.000000,0.240000,3.493894
2.350000,-0.005589,0.750000,0.000000,2.756280
2.400000,0.001859,0.750000,0.000000,2.200456
2.450000,-0.003788,0.750000,0.000000,2.405973
2.500000,0.002864,0.750000,0.000000,3.207637
2.550000,-0.003446,0.750000,0.000000,2.318659
2.600000,0.003046,0.750000,0.000000,2.291378
2.650000,-0.003423,0.750000,0.000000,2.390885
2.700000,0.002810,0.750000,0.000000,2.104898
2.750000,-0.003540,0.750000,0.000000,2.949622
2.800000,-0.001829,0.000000,0.240000,2.232297
2.850000,-0.003840,0.000000,0.240000,3.388625
2.900000,0.003085,0.000000,0.240000,2.711627
2.950000,-0.003379,0.000000,0.240000,2.829788
3.000000,0.002770,0.000000,0.240000,2.451489
3.050000,-0.003492,0.000000,0.240000,2.214714
3.100000,0.002845,0.079155,0.000000,2.167144
3.150000,-0.003534,0.408200,0.000000,2.783642
3.200000,0.003327,0.228990,0.000000,2.375576
3.250000,-0.002941,0.000000,0.033132,2.253006
3.300000,0.004089,0.750000,0.000000,2.366869
3.350000,0.000045,0.750000,0.000000,2.308731
3.400000,0.002220,0.750000,0.000000,2.539994
3.450000,0.001559,0.750000,0.000000,2.273384
3.500000,0.000553,0.750000,0.000000,2.385524
3.550000,0.000555,0.750000,0.000000,2.102504
3.600000,0.000554,0.750000,0.000000,2.239621
3.650000,0.000556,0.570372,0.000000,2.358895
3.700000,0.000397,0.157250,0.000000,2.254959
3.750000,-0.002348,0.750000,0.000000,2.320152
3.800000,0.003579,0.750000,0.000000,2.552457
3.850000,0.000560,0.750000,0.000000,2.366268
3.900000,0.001737,0.750000,0.000000,2.773182
3.950000,-0.001223,0.750000,0.000000,2.241264
4.000000,-0.000000,0.750000,0.000000,2.054694
4.050000,-0.000114,0.750000,0.000000,2.202481
4.100000,0.000389,0.750000,0.000000,2.691107
4.150000,-0.000183,0.750000,0.000000,2.294534
4.200000,0.000326,0.750000,0.000000,2.032522
4.250000,-0.000949,0.000000,0.240000,2.123794
4.300000,0.000111,0.000000,0.240000,3.429142
4.350000,-0.002957,0.000000,0.240000,3.158854
4.400000,0.003139,0.000000,0.240000,2.860264
4.450000,-0.003205,0.000000,0.240000,2.396586
4.500000,0.003017,0.000000,0.240000,2.205327
4.550000,-0.003303,0.000000,0.120774,2.261612
4.600000,0.003078,0.274432,0.000000,2.336754
4.650000,-0.003872,0.000000,0.240000,2.140435
4.700000,0.002699,0.000000,0.088377,2.379233
4.750000,-0.004737,0.750000,0.000000,2.278474
4.800000,-0.001197,0.750000,0.000000,2.158519
4.850000,-0.002633,0.750000,0.000000,2.297549
4.900000,-0.001344,0.750000,0.000000,2.132480
4.950000,-0.000787,0.750000,0.000000,2.239351
5.000000,-0.000821,0.750000,0.000000,2.663275
5.050000,-0.000752,0.750000,0.000000,2.411022
5.100000,-0.000634,0.744583,0.000000,2.187784
5.150000,-0.000629,0.169892,0.000000,2.285978
5.200000,-0.001105,0.419009,0.000000,2.777040
5.250000,-0.000128,0.750000,0.000000,2.218021
5.300000,-0.000032,0.750000,0.000000,2.054704
5.350000,-0.000217,0.750000,0.000000,2.333056
5.400000,-0.000222,0.000000,0.099717,2.256884
5.450000,-0.000232,0.750000,0.000000,2.932702
5.500000,-0.000134,0.750000,0.000000,2.250631
5.550000,-0.000102,0.750000,0.000000,2.259198
5.600000,-0.000118,0.750000,0.000000,2.086183
5.650000,-0.000106,0.750000,0.000000,2.061347
5.700000,-0.000053,0.750000,0.000000,3.273179
5.750000,-0.000078,0.750000,0.000000,2.169169
5.800000,-0.000083,0.000000,0.240000,2.388310
5.850000,-0.000069,0.000000,0.240000,2.172986
5.900000,-0.000074,0.000000,0.240000,2.006033
5.950000,-0.000031,0.000000,0.240000,2.495201
6.000000,-0.000056,0.000000,0.240000,2.734328
6.050000,-0.000037,0.000000,0.240000,2.971965
6.100000,-0.000043,0.000000,0.240000,2.255040
6.150000,-0.000010,0.429020,0.000000,2.703861
6.200000,-0.000002,0.000000,0.240000,2.683734
6.250000,-0.000046,0.041471,0.000000,2.341973
6.300000,-0.000040,0.750000,0.000000,2.512642
6.350000,0.000022,0.750000,0.000000,2.638960
6.400000,0.000029,0.750000,0.000000,2.550383
6.450000,0.000008,0.750000,0.000000,2.089580
6.500000,0.000018,0.750000,0.000000,2.359476
6.550000,0.000002,0.750000,0.000000,2.252625
6.600000,0.000005,0.750000,0.000000,2.727315
6.650000,0.000025,0.474853,0.000000,2.549863
6.700000,0.000388,0.127834,0.000000,2.939623
6.750000,-0.000167,0.750000,0.000000,3.025034
6.800000,-0.002322,0.750000,0.000000,2.434486
6.850000,-0.002628,0.750000,0.000000,2.145184
6.900000,-0.000160,0.485772,0.000000,2.051448
6.950000,0.000605,0.750000,0.000000,2.216628
7.000000,0.000328,0.750000,0.000000,2.156305
7.050000,-0.000274,0.000000,0.240000,2.659610
7.100000,-0.000167,0.750000,0.000000,3.006470
7.150000,-0.000195,0.750000,0.000000,2.008157
7.200000,-0.000019,0.750000,0.000000,2.488928
7.250000,-0.000067,0.750000,0.000000,2.553249
7.300000,-0.000073,0.750000,0.000000,2.455616
7.350000,-0.000050,0.750000,0.000000,2.245892
7.400000,-0.000079,0.750000,0.000000,2.276269
7.450000,-0.000052,0.000000,0.240000,3.197898
7.500000,-0.000043,0.000000,0.240000,2.814348
7.550000,-0.000063,0.000000,0.240000,2.443814
7.600000,-0.000026,0.000000,0.240000,2.455617
7.650000,-0.000055,0.000000,0.240000,3.370893
7.700000,-0.000058,0.000000,0.240000,2.078839
7.750000,-0.000016,0.000000,0.240000,2.621246
7.800000,0.000002,0.269491,0.000000,2.387228
7.850000,-0.000031,0.000000,0.240000,2.246484
7.900000,-0.000035,0.000000,0.120684,2.449434
7.950000,-0.000009,0.750000,0.000000,2.285728
8.000000,0.000005,0.750000,0.000000,2.502794
8.050000,-0.000008,0.750000,0.000000,2.828446
8.100000,0.000018,0.750000,0.000000,2.439575
8.150000,0.000018,0.750000,0.000000,2.685858
8.200000,0.000012,0.750000,0.000000,2.958770
8.250000,0.000006,0.750000,0.000000,3.810228
8.300000,0.000003,0.562052,0.000000,2.453302
8.350000,0.000090,0.176449,0.000000,2.721775
8.400000,0.001730,0.750000,0.000000,2.300114
8.450000,0.000350,0.750000,0.000000,3.196685
8.500000,0.000162,0.750000,0.000000,2.365857
8.550000,0.001859,0.750000,0.000000,2.238830
8.600000,-0.003116,0.750000,0.000000,2.130988
8.650000,0.003604,0.750000,0.000000,2.244440
8.700000,-0.003032,0.750000,0.000000,2.681359
8.750000,0.003160,0.750000,0.000000,2.272714
8.800000,-0.003215,0.750000,0.000000,2.648117
8.850000,-0.000765,0.000000,0.233109,3.230390
8.900000,-0.004001,0.000000,0.240000,2.526750
8.950000,0.002079,0.000000,0.240000,2.869933
9.000000,-0.002704,0.000000,0.240000,2.574188
9.050000,0.003126,0.000000,0.240000,2.963568
9.100000,-0.003404,0.000000,0.138757,2.591851
9.150000,0.003046,0.215130,0.000000,2.113735
9.200000,-0.003421,0.518086,0.000000,2.457469
9.250000,0.003111,0.653836,0.000000,2.037832
9.300000,-0.002789,0.148857,0.000000,2.225865
9.350000,0.003255,0.154077,0.000000,2.381919
9.400000,-0.001725,0.750000,0.000000,2.304452
9.450000,0.002958,0.750000,0.000000,2.329509
9.500000,-0.000449,0.750000,0.000000,2.308331
9.550000,-0.000142,0.750000,0.000000,2.125356
9.600000,0.000276,0.750000,0.000000,2.879101
9.650000,0.000210,0.750000,0.000000,2.219063
9.700000,0.000130,0.525289,0.000000,2.477367
9.750000,0.000558,0.170680,0.000000,2.048503
9.800000,-0.000454,0.750000,0.000000,2.522301
9.850000,0.001068,0.750000,0.000000,2.962716
9.900000,-0.000471,0.750000,0.000000,2.256322
9.950000,0.005341,0.750000,0.000000,2.003578
10.000000,0.005334,0.750000,0.000000,2.279015
10.050000,0.002185,0.750000,0.000000,2.737535
10.100000,0.001678,0.750000,0.000000,2.533772
10.150000,0.000902,0.750000,0.000000,2.062428
10.200000,0.001431,0.750000,0.000000,2.241755
10.250000,0.000623,0.750000,0.000000,2.605938
10.300000,0.001798,0.000000,0.240000,2.342333
10.350000,0.000760,0.000000,0.240000,2.097775
10.400000,0.003441,0.000000,0.240000,2.186752
10.450000,-0.002654,0.000000,0.240000,2.360087
10.500000,0.003708,0.000000,0.240000,2.616568
10.550000,-0.002690,0.000000,0.240000,2.155463
10.600000,0.003350,0.000000,0.240000,2.552998
10.650000,-0.002843,0.015364,0.000000,2.255220
10.700000,0.004002,0.000000,0.240000,2.746471
10.750000,-0.002643,0.000000,0.240000,2.364665
10.800000,0.006040,0.750000,0.000000,2.151566
10.850000,0.004668,0.750000,0.000000,2.393329
10.900000,0.001275,0.750000,0.000000,2.113425
10.950000,0.001141,0.750000,0.000000,2.416392
11.000000,0.001308,0.750000,0.000000,2.826541
11.050000,0.001096,0.750000,0.000000,2.168728
11.100000,0.000915,0.750000,0.000000,2.410441
11.150000,0.000801,0.750000,0.000000,2.122401
11.200000,0.000903,0.591271,0.000000,2.191781
11.250000,0.000556,0.180213,0.000000,2.422293
11.300000,0.000388,0.750000,0.000000,2.168668
11.350000,-0.000160,0.750000,0.000000,2.291569
11.400000,0.000088,0.750000,0.000000,2.342664
11.450000,0.000200,0.377055,0.000000,2.961716
11.500000,0.000191,0.750000,0.000000,2.492375
11.550000,0.000205,0.750000,0.000000,2.207751
11.600000,0.000196,0.750000,0.000000,3.124060
11.650000,0.000098,0.750000,0.000000,2.107453
11.700000,0.000089,0.750000,0.000000,2.096551
11.750000,0.000080,0.750000,0.000000,2.113454
11.800000,0.000057,0.750000,0.000000,2.748445
11.850000,0.000051,0.000000,0.240000,2.313800
11.900000,0.000051,0.000000,0.240000,2.194625
11.950000,0.000059,0.000000,0.240000,2.158729
12.000000,0.000040,0.000000,0.240000,2.760657
12.050000,-0.000009,0.000000,0.240000,2.314602
12.100000,0.000087,0.000000,0.240000,2.256843
12.150000,0.000011,0.000000,0.049389,2.067608
12.200000,0.000031,0.000000,0.086386,2.268336
12.250000,0.000013,0.227067,0.000000,2.466476
12.300000,0.000021,0.000000,0.240000,2.327657
12.350000,0.000009,0.750000,0.000000,3.259695
12.400000,0.000024,0.750000,0.000000,2.126318
12.450000,0.000043,0.750000,0.000000,2.282711
12.500000,0.000011,0.750000,0.000000,2.107513
12.550000,0.000036,0.750000,0.000000,2.286839
12.600000,0.000016,0.750000,0.000000,2.722005
12.650000,0.000017,0.750000,0.000000,2.523334
12.700000,0.000005,0.449155,0.000000,2.123503
12.750000,-0.000443,0.141601,0.000000,2.353184
12.800000,0.000298,0.750000,0.000000,2.216227
12.850000,0.000168,0.750000,0.000000,2.181412
12.900000,0.000142,0.750000,0.000000,2.133241
12.950000,-0.000450,0.750000,0.000000,2.300856
13.000000,0.000160,0.750000,0.000000,2.161925
13.050000,0.000000,0.000000,0.240000,3.336648
