t_rel_s,steer,throttle,brake,controller_compute_time_ms
0.000000,0.000000,0.750000,0.000000,9.647205
0.050000,0.000000,0.750000,0.000000,8.794966
0.100000,0.000100,0.750000,0.000000,22.004182
0.150000,0.000100,0.750000,0.000000,21.377236
0.200000,0.000100,0.750000,0.000000,23.216816
0.250000,0.000100,0.750000,0.000000,21.918670
0.300000,0.000100,0.750000,0.000000,22.969502
0.350000,0.000100,0.750000,0.000000,22.024700
0.400000,0.000100,0.750000,0.000000,22.502115
0.450000,0.000100,0.750000,0.000000,22.408009
0.500000,0.000100,0.750000,0.000000,22.334911
0.550000,0.000100,0.750000,0.000000,23.938990
0.600000,0.000100,0.750000,0.000000,24.307241
0.650000,0.000200,0.750000,0.000000,41.043723
0.700000,-0.000300,0.750000,0.000000,40.514531
0.750000,-0.001000,0.750000,0.000000,37.203830
0.800000,-0.001000,0.750000,0.000000,40.233713
0.850000,-0.001000,0.750000,0.000000,44.984834
0.900000,-0.001300,0.750000,0.000000,36.499419
0.950000,-0.001300,0.750000,0.000000,35.870569
1.000000,-0.001300,0.750000,0.000000,39.936436
1.050000,-0.001300,0.750000,0.000000,38.398000
1.100000,-0.001300,0.750000,0.000000,35.178971
1.150000,0.000000,0.750000,0.000000,34.325221
1.200000,0.000000,0.750000,0.000000,21.493514
1.250000,0.000000,0.750000,0.000000,9.167044
1.300000,0.000000,0.750000,0.000000,9.106190
1.350000,-0.000100,0.750000,0.000000,25.137078
1.400000,-0.000100,0.750000,0.000000,19.089365
1.450000,-0.000100,0.750000,0.000000,22.415593
1.500000,-0.000100,0.750000,0.000000,18.443893
1.550000,-0.000100,0.750000,0.000000,19.466722
1.600000,-0.000100,0.750000,0.000000,18.667954
1.650000,-0.000100,0.750000,0.000000,16.854443
1.700000,-0.000100,0.750000,0.000000,19.718675
1.750000,-0.000100,0.750000,0.000000,20.015642
1.800000,0.000000,0.750000,0.000000,20.440839
1.850000,0.000000,0.750000,0.000000,10.587097
1.900000,0.000000,0.750000,0.000000,8.905925
1.950000,0.000000,0.750000,0.000000,9.295114
2.000000,0.000200,0.750000,0.000000,38.586454
2.050000,-0.000100,0.750000,0.000000,41.137028
2.100000,0.000300,0.750000,0.000000,42.904894
2.150000,0.000000,0.750000,0.000000,35.039080
2.200000,0.000300,0.750000,0.000000,43.108184
2.250000,0.000000,0.750000,0.000000,36.265550
2.300000,0.000500,0.028894,0.000000,36.327036
